,영화'맘마미아1' 감상평
0,"당신을 만날 수 있다면, 지금이 좀 더 외로워도 참아낼 수 있을 거 같다."
1,"뮤지컬영화  별루 안 좋아 하는데 맘마미아는 정말 최고네요눈과 귀를,호강시켜주는 영화"
2,상큼한데 달달하고 이게 무슨 맛인가 싶다가도 자꾸 생각나는 자몽에이드
3,눈과 귀가 즐거운 행복한 영화.
4,
5,아니 노래도 좋고 다 좋은데 자막 ㄹㅇ 가족끼리보는데
6,"보고 또 보고, 또 보고 보고."
7,오바떠는 연기가 너무 보기싫고 힘듦
8,? 지금 내가 뭘 본거지..
9,"내 첫 뮤지컬 영화, 감동으로 다가서다."
10,최고의 영화이지요 맘마미아
11,"배우들의 풍성한 감정표현과 성량, 노래, 연출, 배경, 스토리 다 좋았다. 매년 1-2회 감상한다. 특히 여름날에 보면 시원한 배경과 함께 자유롭게 여행 다녀온 느낌이 드는 인생 영화! 추천합니다!"
12,2021년에 봐도 감동적
13,어렸을땐 몰랐는데 커서 보니까 너무너무 재밌네요ㅜㅜ 보는 내내 엄마 생각나서 눈물이....
14,아니 세상에... 맘마미아2가 9점대인데 1이 8점대인게 말이되나ㅋ 평점 올리기 10점. 뮤지컬영화중에 최고..
15,"그리스 배경에 청량한 느낌, 항상 웃고 있는 배우분들의 표정, 중독성 강한 Ost까지 정말 작품성이 높은 탄탄한 스토리는 아니지만 행복해지고 싶을 때 보는 인생 영화"
16,아름다운 영상과 상황에 맞는 멋진 노래들
17,아만다 사이프리드 너무 예쁘고 영화도 재밌어요ㅠㅠ 시즌2도 얼른 봐야겠네요
18,보는 내내 가슴이 뛰는게 느껴졌던 영화. 내가 지금까지 봤던 그 어떤 영화들보다도 좋다.
19,와.. 아만다 진짜 이쁘다...와.. 이노래도?와.. 이 노래도오?!
20,아바의 주옥같은 노래와 도나와 멋진 세오빠와 그리고 아름다운 그리스 바다. 뭐가 더 필요할까?
21,아름다움. 즐거움. 미소짓고 있지만 눈물나는 인생영화♡
22,내인생 최고의 영화를 꼽자면 당연히 맘마미아라고 할수있을정도로 맘마미아를 좋아하고 많이 봤지만 볼때마다 즐겁고 새로운영화다 맘마미아를 처음본게 초등학생땐데 그후 10몇년이 지난 지금까지도 자주 찾아보고 노래를듣곤한다 볼때마다 나에게 감동을주는 세월이 아무리지나도 촌스럽지않은 영화이다.
23,ㅠ행ㅠ복ㅠ해ㅠ진짜 절대후회업는영화암튼보세ㅐ요
24,"색감으로 연출력을, 노래로 산만함을, 연기로 캐릭터성을 가리려는 꿈"
25,"존잼,,,뮤지컬영화 안 좋아하는데 속는셈 치고 유명하니까 봤는데꿀잼 ㅜㅜ 유쾌하고 노래 너무 좋다 ,, 댄싱퀸이랑 맘마미아 ,,이거보고 그리스 가고 싶어짐 풍경 너무 아름답다아만다 사이프리드 개이뿌다; 기회가 된다면 또 보고싶은 영화임"
26,굿입니다
27,너무 기대를 한 탓인가 흥겹고 반짝반짝 하지만 생각보다 지루했었다
28,음악이 너무 좋아요!!
29,너무나 행복해 지는 아름다운 뮤지컬영화
30,볼 때 마다 행복해지는 영화
31,메릴 스트립 저 나이에 노래도 잘 불러 춤도 잘 춰... 믿보배??ㄹㅇ 내 인생 영화 띵작 ㄹㅇ감동적이면서도 약간의 코미디가 있고 보는 내내 웃고 있음...ost다 좋아메릴 스트립 입덕 완료
32,"영화보다가 중도포기한건 이게 처음이다. 익숙한 노래 나오는거 말고는 정말 재미없네. 후반부에는 재밌을지 어떨지 모르겠지만, 꾹 참고 볼 영화까지는 아닌것 같다. 일단 점수는 보류하는걸로 하고 5점."
33,이걸 엄마랑 딸이 같이 손잡고 봐야한다는 사람들은 도대체 무슨 생각인걸까
34,그냥 노래만 들으세요
35,너무너무너무너무조아요
36,
37,
38,너무 재밌고 음악이 너무 좋네요!
39,여자들이 남자와 연예관계에대해 웃어대면서 노래하는이야기. 노래는좋지만 소재가 엄연히 여성적이라 남자들에겐 재미없음. 순정장르를 좋아하는사람이나 봐라
40,내가 봤던 뮤지컬 영화 중에서 처음부터 끝까지 가장 완벽한 영화
41,
42,"궁금해서 한번 봤는데 스토리가 헐.... 이네요. 개막장 스토리는 외면하고 노래, 춤, 배경 이런거 구경하는 재미로 보면 그럭저럭 볼만한듯.."
43,내가 이영화를 24살때 처음 봤고 지금 딸이 6세이다.딸이 20살이 됐을때 꼭 같이 보고 싶은 영화.내생애 베스트 탑5안에 드는 명작♡♡♡♡
44,진짜 최고의 뮤지컬 영화
45,아무리 뮤지컬 영화라도 시작부터 끝까지 집중할 수가 없는 내용.역하렘이나 판타지를 꿈꾸는사람들에겐 좋을듯. 아바의 음악만 좋다.
46,"음악, 풍경, 분위기는 좋았으나 스토리는 도저히 공감이 안가서 아쉬웠다.. 스토리의 아쉬움때문인지 크게 남는건 없는 느낌.. 마지막 끝날때 연이어 나오는 아바의 곡들이 그나마 영화를 빛내주는듯"
47,세상어디에도없는 수면영화
48,제 인생영화에요ㅠㅠ
49,스토리 ?
50,"뮤지컬 영화 좋아해서 챙겨보는데 이건 보다가 끔...스토리도 그렇고 오바스럽고 산만한 연기, 연출도 다 병맛임...좋은건 노래뿐"
51,
52,
53,사랑스럽고 귀여운 영화OST마다 고유의 개성이 있고 독창적임아빠가 과연 누구일까에 대한 의문만 들다가 예상치못한 모성애 넘치는 장면과 OST가 가장 인상적이었음
54,
55,스토리는 별로지만 영상미 배경 연기 노래 등등 지루할틈이 없다
56,
57,
58,
59,
60,You can dance you can jive~~♪ 다시 보면서 같이 춤췄다
61,뮤지컬을 먼저 봤어서 익숙한 노래랑 안무가 반갑고 즐거웠다 예쁜 배경과 분위기는 덤
62,
63,뮤지컬 영화는 겨울왕국과 맘마미아가 양대산맥이다 메릴 스트립 최고~~♥♥♥
64,스토리 괜찮은데요? 막장컨셉 잡은거 같은데 막 스토리때문에 영화가 별로란 것은 이해못하겠네요 노래 좋고 재밌어요 근데 결말은 좀 아쉽긴함
65,말도 안되는 로맨스영화를 보고 힐링을 얻기도 한다. 마지막 흘러나온 노래처럼 누구나 망상일지라도 꿈을 꾸는 건 죄가 아니니까.
66,아바의 음악을 듣는 것만으로도 넘 좋아요그중에서 skipping through my fingers는 나의 엄마 나의 딸에게 느끼는 가슴찡한 감정을 잘 그려냈어요아침에 눈물 바다~~
67,재밌네요 2008년 영화를 2020년에 보지만 ㅎㅎ
68,신나는 노래와 아름다운 배경으로 펼쳐지는 막장드라마
69,
70,
71,
72,맘마미아보면서 가장 신기한점은 모두 춤추고 웃는 댄싱퀸 음악 씬에서 눈물이 하염없이 흐른다는 것..ㅠㅠ
73,좋은 OST와 좋은 영상미 흥미로운 소재 그러나 아쉬운 전개 밑도끝도 없는 개연성 캐릭터의 행동에 대한 빈약한 동기뮤지컬장르는 어느정도 감수하고 본다지만 영화로서 매우 빈약한 스토리
74,"맘마미아2도 재밌게 봐서, 검색하여 맘마미아 1을 나중에 봤는데...  코믹하고 더 재밌었음... 아바의 추억의 명곡들과 함께한 영상들은 최고 였어요 ~"
75,
76,"아무리 노래로 때운다지만, 너무 막장스토리에 노래에 장면을 맞추려니  오히려 어색해지는 부분이 있다."
77,
78,음악 최고 작품도 조음!!!
79,
80,진짜 뮤지컬이라 스토리에 상대적으로 덜 신경써서 그렇지 개막장스토리네요ㅋㅋㅋ 넘버는 좋습니다
81,너무 재밌게봤네요 한편의 뮤지컬
82,"처음 개봉했던 7살때부터 지금까지 반 년에 한 번 이상은 꼭 보고 있는 영화 입니다. 분위기, 연출, 연기 하나 빠지는 곳이 없고 아직도 맘마미아만 보면 심장이 두근거려요. 다시 한 번 상영관에서 보고싶어요."
83,
84,댄싱퀸 부를때부터 그냥 눈물이 나네
85,영원히 기억될 Abba!!
86,
87,사랑스러운 소피의 모습 그림같은 동화같은 배경아름다운 음악.그리고 솔직한 사랑이야기
88,"배경도 너무 아름답고, 소피도 사랑스럽고 노래도 너무 잘하고 목소리가 정말 꾀고리 같다.불행할 수 있는 가정을 유쾌하게 그려서 너무 좋았고, 결혼식 직전에 도나랑 소피가 노래 부르는 장면에서는 눈물도 찔끔 났다. 도나가 결혼하는 것도 좋았는데 왜 하필 샘이었는지는 이해가 안간다 유부남인데,,,제일 잘생겨서 그런가"
89,아바의 명곡들과 영상미가 돋보이는 좋은영화입니다.
90,너무 노래가 좋아요.  연기도잘하고..다좋아요.
91,
92,맘마미아! 또 시작이야!
93,다시 봐도 유쾌하네 ㅋㅋㅋ어찌보면 막장인데왤케 입꼬리가 안내려가냐 ㅋㅋ세상 즐겁닼ㅋ
94,연출 연기 캐스팅 ost 다좋은데스토리로 말아먹어버리네
95,강력추천 지금이라도 봐서 다행입니다
96,
97,영화가 끝나고 마지막에 나오는 춤과 댄스가 영화의 끝을 마무리하기에 좋았다
98,평범한 스토리를 즐기게 해주는 노래.
99,
100,이 영화를 한번만 본 사람이 있을까?'그리스를 배경으로 펼쳐진 스토리. 인생영화.
101,영화관에서 맘마미아2를 먼저 보고 오늘 1을 처음 봤는데 너무 재밌었다. 중간에 노래 부르는 장면 몇몇에서는 눈물이 났다. 섬의 풍경도 예쁘고 노래들도 좋고 여러모로 좋았던 영화 !!!
102,메릴스트립 연기는 정말 몰입도 최고아만다 존예세아빠들도 근사하고엄마친구들도 매력터짐
103,그리스 여행 적극 권장 영화
104,재밌네요. 감동이었어요.
105,최고에요! 동시대 사람이라 행복합니다!
106,
107,아바라는 그룹에 대해서만 알고 있었지만 이 영화를 통해 그들의 노래를 좋아하게 되었어요! 학교에서 봤는데 OST는 정말 좋았습니다.하지만 스토리 전개가 많이 아쉽네요.
108,"엄마와 같이 한번쯤은 봐야할, 볼만한 영화"
109,막장인 감이 없지 않아 있지만 그 모든걸 감안하게 해주는 노래들
110,
111,"스무살때는 지루한 영화였지만, OO이 지난 지금은 너무나도 멋지고 감동적인 영화"
112,"설정 자체도 막장에 말이 안되고, 뮤지컬영화면 스토리에 맞게 노래가 나와야되는데, 이 영화는 아바 노랠 다 끼워 넣으려고 억지로 스토리를 만든 느낌임"
113,ㄷㄷ 막장행보를 노래와 춤으로 미화하면 끝?다음시리즈엔 아예 강간범을 주인공으로 내세우자.춤과 노래로 전부 미화시키자고.
114,결말이 다소 어이없으나 상당히 재밌고 유쾌하며 도나가 딸머리 빗으면서 부른 노래가 감동적이다
115,
116,사이프리드 너무 사랑스럽당 미쳐버리게.
117,최고다 이말말곤 할 말이없다
118,어렸을 때 부모님이랑 봤었는데 지금은 23살이네요. 당시에는 그냥 노래 좋고 아만다사이프리드 예뻐서 봤었는데 지금 다시보니까 괜히 자식 키우느라 청춘을 날려버린 엄마 생각에 괜히 울컥하면서 봤습니다 ㅠㅠ
119,당시에 안보고 오늘에서야 이 영화를 봤다 말이 필요없다!
120,뮤지컬영화라고 무시했다가 후회됨
121,"아만다 사이프리드 노래가 기대 이상이였고, 귀가 즐거운 뮤지컬 영화."
122,너무 재밌는데 말이 더 필요할까
123,수십번을 봐도 감동적인 최고의 영화. 노래는 물론이고 이런 명배우들의 조합을 어느 영화에서도 볼 수 없다. 특히 메릴스트립의 팬으로서 강추
124,아주 너무 감명깊게봤오용~ 뮤지컬 보다 더더더 아주 잼나네요
125,"..,,.,,.,,"
126,콜린의 목소리 넘 놓아요
127,보랩하고 맘마미아 내인생 최고의 음악 영화 !
128,"노래하고 춤추는 행복한 인생, 그것이 꿈일지라도 마음은 풍요로워진다"
129,흥이 넘치게 하는 뮤지컬 영화!
130,jluykytjrt
131,아바뽕은 줄거리 캐릭터 연출을 뛰어나게 하는 뭔가가 있다
132,아바의 클라스는 영원하리
133,"인생영화, 도나와 친구들이 소피보다 더 빛났던 스토리이다."
134,노래만 좋음 10자 이상
135,가슴이 벅차오르는 영화입니다
136,"뛰어난 배우들의 춤과 노래, 그 자체로도 이미 메인 디쉬지만 완벽한 마무리를 완성케하는 달콤한 감동 한 스푼"
137,뮤지컬을 영화로 옮긴 완벽한 성공 사례
138,남주 노래 실력빼고는 완벽
139,"진짜 주인공은 소피가 아니라 도나인것같다. 젊은날 짧은 사랑들을 보내고, 새로운 사랑인 소피를 만났다. 세월이 지나고 어여쁜 딸을 보내는 도나.. 그 허전하고 기특한 마음이 고스란히 느껴졌다."
140,아만다가 예쁘고 음악이 좋아 그나마 5점 줌. 영화는 재미 없음.
141,나이가 드니 최고의 지존은 아바였다는 것을 세삼 느끼게 해줍니다.
142,이런 황당무개한 얘기의 영화였다니ㅋㅋㅋ 아빠가 세명ㅋㅋ
143,참 소중한 영화!!!!
144,지금해서 들어옴 흑흑 ㅇㅇ
145,아바노래가 넘 조타~~~
146,이거 보다가 눈물을 흘렸다
147,뮤지컬영화중 최고일 듯
148,보면 행복해 지는 영화! 나도 저런 사랑을 해 보고 싶다는 생각을 하게 해요 ~
149,신비롭다. 재밌다.멋지다.
150,엔딩 크레딧 끝까지 올라가는 거 다 본 영화는 생전 처음. 음악 때문에 끌 수가 없다.
151,2 필요없고 그 자채로 넘 좋았었던 영화인데.... 보면볼수록 매력적이다 노래며 배우며
152,ABBA 명곡들의 향연... 노래만 들어도 즐겁네요
153,맘마미아 노래는 언제나 들어도 신나네여♡
154,엄마의 젊은시절이라는걸 처음 상상하게 해준 영화입니다...음악도 너무 좋구요 저는 보는내내 울었어요 우리 엄마는 코골고 잤지만요 ㅋ
155,엥 대환장파티로 이름 바꾸면 어떰? 뭔내용임 내 뇌를 한번 뿌시고봐야 이해갈 내용
156,노래는 역시나 좋지만..내용이 별로여서 졸았다 안타깝다ㅠ
157,2편을 먼저 봐서 그런지 매 장면의 임팩트나 짜임새가 덜하다는 느낌이 들었어요
158,딸의 결혼식을 미루게 만든 어머니와 세구멍동서의 이야기네  아바 노래를 저급하게 만드네 노래가 아깝다  이딴 영화 평점이 이리 높다니  차라리 영화를 몰랐다면 좋았을것을 괜히봤네
159,아바 명곡들이라는 최고의 재료들을 가지고 이따위 양념질밖에 못해?
160,지루해 뮤지컬음악은 노래 좋은걸로보는데노래도 딱히 좋진않음
161,"자기 아버지가 누군지도 모른다는건 어머니가 며칠 사이에 많은 남자에게 몸을 팔았다는 말 아님?? 그 더러운 스토리를 찬양하는 사람들을 보면 참 기가 막힌다ㅋㅋ 그래놓고 메갈들은 ""한낱 스쳐간 남자일뿐""이라며 개소리를 해대는데 알고보니 감독이 페미감독."
162,노래부르고 춤추는게 처음에는 오글거릴 줄 알았더만 그게 다 등장인물의 심리를 잘 표현하며 방법중의 한 방법이다. 자신의 감정을 저렇게 춤과 노래로 드러낸다는 것은 본 받아야할 개방적인 문화인 것 같다.
163,OO 스토리에 최고의 OST
164,노래는 좋지만 뭘 표현하고 싶은건지 모르겠다. 중장년의 개방적인 러브스토리인지 미혼모와 딸의 사랑인지. 갑자기 결혼식을 엎어버리질 않나 뜬금 없는 엄마의 결혼식이 되어버리질 않나.. 개인적으로는 이해도 안되고 난해한 스토리..
165,내 감성이랑 안맞음 뭔 영화인지 모르겠다
166,메릴스트립이 몰입 방해. 도나 캐릭터의 매력을 살리지 못한다. 안예쁘고 매력없고
167,엄마가 왜 좋아하는지 알 수 있었고.. 아바버전도 좋지만.. 배우들 버전 대박.. 가슴 벅찬 영화ㅠㅠ
168,뷰만 보기 좋지 나머지는 별루
169,지루할 틈이 전혀 없는 ㅈㄴ재밌는 영화.
170,뮤지컬 영화를 비선호하는 나에겐 그저 그런. 좋아하는 배우들이 많이 나와 만족뿐이었던.
171,꿀같은 아바의 노래들을 들을 수 있어 좋았음
172,도저히 집중 안되어서 극장에서 잠들었음.
173,더러운 저질스토리를 뮤지컬+지중해풍경+중장년층 감성(써니감성)으로 포장한 영화 그이상 그이하도 아님. 성관계 문란하게 해서 지아빠가 누군지도 모르는 딸결혼식에 이복자식잇는 애아빠와 엄마가 불륜재혼하는게 니들이 꿈꾸던 개방적이고 일탈이냐?ㅋㅋㅋ
174,이 즐거운 영화에 왜 눈물이 나는건지ㅠㅠ보는 내내 미소 띠며 봤어요. 기분 좋아지는 영화!
175,"아만다 사이프리드 엄청 예쁘게 나왔고, 가볍게 보기 좋다. 근데 아바 노래만 나오니까 너무 단조롭고, 퍼포먼스도 그닥.. 처음엔 정말 재밌었는데 가면 갈수록 질림. 뮤지컬로 보는게 훨씬 더 재밌을듯. 뮤지컬 영화의 장점을 못살림."
176,좋아요 노래도 좋고 괜찮음
177,유대인 캐나다 미국 영국.... 대사를 노래처럼 해서 안볼랬는데 아바의 댄싱퀸 같은 아는 노래도 나오고 그래서 편하게 잘 봤어요. 메릴 스트립이 엄청 젊어보여 놀라웠습니다
178,재밌긴한데 후반에 너무 막장..이어서 당황
179,호불호가 갈리는 듯 난 진짜 별로였다
180,익숙한 멜로디와 음악들. 여주와 남자 셋이 배 위에서 기타치며 부른 노래가 가장 인상깊고 좋았다. 서양이라 유쾌하게 보이지만 알고보면 막장 드라마.
181,어린시절 아름답고 유쾌한세상이 존재한다는걸 보여준 영화
182,너무조아용 예전에 봤었는데 또보고싶네요
183,"옛날엔 어땠을지 몰라도 지금 보기엔 너무나 올드하고 촌스럽기 그지 없다. 댄싱퀸이나 주제곡 노래는 너무 좋은데 배우들 안무도 너무 합이 안맞는듯 하고 막춤 추는것도 아니고 연출, 대사 너무 촌스럽다.. 참고로 이 시기에 아이언맨1이 개봉했으니.."
184,진짜 제인생영화ㅜㅜ몇십번을 돌려봐도 너무재밌어요
185,Abba의 명곡 배우들의 열연 이 2가지는 좋았으나 스토리가 좀 아쉽다 아만다 목소리 왤캐 좋은지 i have dream 부를때 깜짝 놀랬음
186,내생의 최고의 영화싱그럽고 싱그럽고 싱그럽다
187,당시에는 어땠을진 몰라도 정서적으로 별로 안맞는것같다.배경이 이쁜것 빼고는 별로..개인적으로 솔직히 B급느낌까지 났다.이게 왜 유명한건지..레미제라블에 비교하는건 시대적 연출이나 스케일로도 무리지만.내용면만 봐도 시스터엑트나 사운드오브 뮤직이 훨낫다.
188,그냥 매혹적인 장면장면들로 이어져 완성된 멋진 뮤지컬영화~
189,노래가 너무 좋음.. 2탄보구 이것두 보게되었음~~~~
190,"미국문화의 문란한 성문화를 제대로 알려주는영화가임기간에 대체 몇명의 남자와 성관계를 했으면 자기 딸 아빠가 누군지도 모를까이런영화가 12세 관람가라니...그냥 아바 노래 들으며 ""걸어서 세상 속으로 ""보는게 나을꺼같다.."
191,"노래는 확실히 좋으나 , 스토리가 너무 막장이라서 .. 주관적인 점수는 8점 정도?"
192,"1,2 모두 인생영화!"
193,"레미제라블 미녀와야수 등 뮤지컬영화 다 재미있는데..유일하게 재미없는 영화..영화관에서 보다잤는데 혹시나해서 다시봐도 재미없음.도나는 못된 할머니가 머리 기르고 이쁜척하고,단발머니 못생긴 아줌마랑 흑인남자 신은 정말 토나옴."
194,이걸 왜 지금에서야 봤을까? 음악들도 좋고 재밌는 영화. 이런 뮤지컬 영화는 대환영이야!!
195,"그녀 자체로 눈부셨고, 그녀가 그리스였다"
196,"유치하고 엉성한, 저질스런 막장 이야기"
197,최고의 뮤지컬 영화..
198,다시 봐도 너무 재밌어요. 캐릭터가 주체적으로 이끄는 게 너무 재밌어.
199,이딴게 8점이라이니이해더럽게안가에2
200,음.. 지금 봐서 그런진 몰라도 지루한 감이 없지 않아 있다. 그 시절 막 개봉 햇을 때 봤다면 10점 만점에 10점을 줬을 것 같다.
201,노래나오는 모든 장면이 명장면 ㅎㅎㅎ 크... 두고두고 다시 볼 띵작이다
202,뮤지컬로 막장내용을 용서하라고?
203,2편 보기위해 방금 봤는데...우리나라 정서와는 동떨어지는 상황이었어요;;어디서 감동을 받아야하는지??
204,맘마미아를 가장 잘 이해하고 애정하는 사람들이 모여 만들어낸 환상적인 파티! 아바라는 소재는 마법의 꽃가루를 뿌리고 당혹스러운 갈등구조는 이내 화합의 밑거름이 된다. 허나 나에겐 Winner takes it all을 토해내던 그순간이 각인된 먹먹한영화
205,최고예요 최고최고 ㅎㅎ
206,진짜 진짜 진짜  소중한 영화
207,맘마미아~~ 맘마~마어
208,와 진짜 거의 다 아는 노래 나와서 신기했다..
209,너무 이쁘고 흥겹고 최고
210,ost만 너무 좋았던 영화
211,"우울한 시기에 보게 됐는데, 보다보니 치유 받는 느낌도 들고 더 나아가 연기자들의 흥에 함께 빠져 그순간은 더할나위 없이 행복했음.정말정말 기분 좋은 영화^^"
212,제일 좋아하는 영화가됨
213,Perfect!!! 진짜 너무 힐링이었다
214,이제 다시 보니 어릴때 보았던 그저 유쾌한 뮤지컬영화가 아니였구나..무수한 감동과 환희들이 별빛처럼 내게 쏟아져 들어온다
215,"내용은  별로 없고,노래만 듣게 되네요.여친과 2편을 예매하려고,1편을 먼저 봤는데,뮤지컬 영화가 생소해서 그런지 별로네요.하지만, 영화는  잘 만들어진 것 같아요.여친는 좋아할듯."
216,원래 좋아하던 영화인데 2를 보고 보니까 더 새롭게 느껴졌어요 역시 최고
217,넘 좋다 진짜 인생 영화..ㅠㅠ
218,10년후 엄마와 다시본영화1편과다르게 2편에선 많은생각과 눈물이났다. 나도 아기를낳은 엄마가됐기에.10년이 지난뒤3편이나오면 또엄마랑 같이볼수 있을까..혼자 앉아 이영화를 다시마주한다면 목놓아 울거같다
219,진짜 1이 최고다 1이 있었기에 2도 나올수있었다. 영화자체에서 나오는 흥겨운 느낌과 기운에 그냥 어느새 몸이 움직이고있다.
220,다시 봐도 인생영화 비포선라이즈급 영화 이다. 자식과 엄마 애인과 나 엄마의 인생 모든것을 담은 뮤지컬 영화다 노래 배우 연기 빠지는것이 없는영화
221,1탄의 댄싱퀸은 정말 최고의 작품이다 도나엄마 보고싶어요 ㅜㅠ
222,댄싱퀸 나올때 눈물 나옴. 맘마미아 영화를 이제서야 처음보는데 엄마와 딸이 보기 좋은 영화임.
223,그니까요. 왜 저도 Dancing queen 을 들으면 울컥하는지..
224,맘마미아 2보기 전에 봣다가 다시 보고 싶어서 돌앙호ㅓㅅ어요 보곳ㅍㅎ다  영화관에서 재개봉 언 해요>?
225,너무 재밌네요♡ 최고에요
226,편하게 보기 좋음 음악 영화
227,취향차이.... 노래는 분명 좋지만 오버스러운거랑 스토리가 별로..
228,엄마랑 같이보기 너무 좋은 영화
229,배우들 연기력도 대단하고 감독의 연출력도 대단하다.
230,"한줄요약: 아이고, 내 결혼식인 줄 알았는데 울엄마 결혼식이었네 ㅠ 아만다의 리즈시절 외모와 예상치 못한 가창력이 사나이 가슴에 불을 지피는 영화."
231,눈과 귀의 즐거움을 주는 영화
232,너무 감동적이다. 크고보니 어릴 때 봤던 그 영화가 아니었다.
233,이영화 특징 여자가 집안일 안하고 춤추는게 맘에 안드는 남자들만 스토리 막장이라고 욕함 ㅋ
234,벌써 10년이나 되었다니 다시봐도 감동입니다
235,"억지로 쥐어짠듯한 내용과 연출. 하지만 OST는 너무나도 좋았다,,"
236,1 없인 2도 없었어요 감동 ㅠㅠ
237,1 없인 2도 없었어요 감동 ㅠㅠ
238,영화 전체를 이끌어가는 ost 의 힘
239,억지스러운 스토리. 보는내내 내가 뭘 보고 있는 건가...
240,이게 왜 평점 8.44밖에 안되는지.. 9점 이상은 되어야 한다고 생각한다 청량음료 마신거 같은 풍경과 음악의향연 인생영화.
241,"레미제라블,비긴어게인,라라랜드,위대한쇼맨. 다 재밌게봤는데 맘마미아를 이제야 봄. 스토리 배경설정 막장과 뜬금없는 전개 등에 실소. 여배우들 비쥬얼이 하... 영화에 너무나 몰입이 안됨. 아바의 노래만 좋다."
242,도나의일기에적힌세남자피어스브로스넌스텔란스카스가드콜린퍼스를결혼식날자신의손을잡고입장해줄아빠로초대한소피그리스섬에모우모여과거의사랑을그리고현재의사랑을그리며신나게노래부른다♬은진구로아빽빈스브로아직도기대가많은그대♬자유롭게사랑하고자이브를추며인생을즐기는바로우리가댄싱퀸♬
243,굿굿굿굿역시노래가좋아야
244,아만다 사이프리를 볼그뿐.
245,영원한 나의 인생영화!
246,기괴한 스토리도 아바의 노래와 함께라면
247,즐겁고 따뜻한 가족 영화
248,감히 말할 수 있는 내 인생 최고의 영화
249,뮤지컬 영화하면 바로 생각나는 이름. 뮤지컬 맘마미아도 꼭 기역해줘요.
250,진짜감동이었어요♡♡♡
251,진짜 최고의 영화!!!!
252,저런 섬에서 살면 맨날 바캉스온기분 ~맨날 맨날 소 풍온기분~노래가저절로~~
253,얼마전에 맘마미아1 안본채로 2를 보고 좀전에 1을 봤는데 진짜 멋진 영화다.. 왜 이걸 이제서야 봤나 싶다 왜 명작인지 알거같다아만다 사이프리드 너무사랑스럽고 목소리도이쁘고  메릴스트립 연륜도있으신데 노래도잘하고 연기도잘하고 매력에 빠져들려고 한다
254,내 인생 영화.. 맘마미아1 재개봉 해줬으면.
255,힐링이되는영화임많이보세요
256,"영화에서 The Winner Takes It All이나, Dancing Queen이 나오는 장면들을 최고로 꼽는데...이 영화에서 최고의 엔딩은 엔딩크레딧이 올라갈때 아만다 사이프리드가 부른 Thank you For The Music 이 흐를때였다."
257,"최고. 진짜 스토리부터 ost에 연기실력, 가창력까지 완벽해요."
258,정말 기분이 좋아지는 영화입니다
259,이미 늙었다 생각하던 나에게 뒤통수 크게 한방 날린 영화
