,영화'맘마미아1' 감상평
260,"음.. 중후반부에 괜찮다 싶은 장면이 있기는 했지만, 저는 전반적으로 뭐지?싶은 영화였어요. 2편이 나온다고 해서 1편을 다운받아 본건데, 음 글쌔요?  그렇지만 나쁘지는 않았어요. 시간 때우기로 본다면 볼만합니다!"
261,지루하다는거 1도 못느꼈다. 진짜 재밌는 영화.
262,서양식 개막장 드라마 ㅋㅋㅋㅋ 2탄을 기다리며 복습겸 다시봐도 꿀잼
263,댄싱퀸 노래나올때가 최고
264,1점 준 애들은 보긴 봤냐 이거?
265,밥맛 아줌마들을 살리는 아바의 명곡들!
266,모든것이 좋은 인생영화
267,아바를 정말 좋아하고 메릴 스트립과 다른 배우들이 직접 노래했다는 점에 매우 놀라웠고 아만다 존예이긴 하지만 이런 스토리는 현실에선 정말 막장오브막장ㅋㅋㅋㅋ 그냥 아바의 명곡들을 감상한다는 것에 의의를 두어야함
268,진짜 최고다 2너무 기대된다!!!
269,아만다 사이프리드 왤케 예쁘죠?
270,노래랑 배경은 너무 좋은데 스토리가 너무 빈약하다. 왜이렇게 대작취급 받는지 모르겠다
271,"누가 애빈지 모르겠으면 유전자 검사를 하면 되지,,노래만 부르고 잇네"
272,our last summer 진짜 너무 좋아서 그때 cd로 듣고 그랬는뎅ㅋㅋㅋ 2 너무 기대된다
273,ㄱㄹ짓해서 애비가 누군지 몰라? 이게 어케 심의 통과 했지? 19금때려라 애들 보기 민망하다
274,언제봐도 벅찬 기분을 들게하는 영화
275,영화가 끝날때까지 신난다! 그래서 아빠는?
276,스토리와 음악의 완벽한 조화
277,아맘다 사이프리드 짱 정말 재밌어요
278,"10년만에 속편이 나오기에 다시 본 맘마미아..그저 신나고 눈이 즐거웠던 작품으로 기억됐었는데 세월이 흐른 지금은 어느샌가 눈물이 난다..이제는 엄마의, 자식의, 그 마음까지 느껴지는 나이가 되었나보다~그렇게 나의 최고의 뮤지컬 영화로 남는다."
279,보는 내내 행복한 영화다
280,파란 지중해와 음악. 눈과 귀가 즐거운 익숙한 뮤지컬 영화. 아~ 나도 지중해 가고 싶다.
281,음악부터 배경까지 완벽한 영화
282,아만다가 살렸다. 아바가 살렸다!
283,시간을 멈춰달라고 노래할때 진심 울뻔했어...ㅠ...감정이 딱 담겨있어서..
284,"열번을봐도 설레고 신나는영화. 맘마미아2를 기다리면서 이 기다림조차 설렌다. 8월 8일까지 내내 행복할거같은 나의 맘마미아, 정말 내인생 최고의영화"
285,아바의 노래가  좋은거지 영화는 그냥 볼만한 정도.
286,솔직히 노래말곤 그닥인데? 내용도 지루하고
287,Best movie ever!
288,유쾌하고 재밌네요~~ 아만다 사이프리드 분량이 생각보다 적네요.. 분량이 좀더 많았으면 어땠을까 생각해봅니다
289,ㅋㅋㅋ진짜 유쾌하네 흥부자
290,아바노래 듣다보니 2시간이 금방 갔네...
291,여름밤 행복한 사랑영화
292,학교에서 선생님이 보여주셔서 보게됬는데 너무 인상 깊었다 수행평가라 주의깊게본 덕분에 지금도 기억에 남는다 영화의 대사나 배경들이 다 보는것만으로도 힐링이 되고 배우들이 전부 노래를 잘 불러 재밋도 있고 감동도 받았던 영화이다
293,The winner takes it all도 좋지만 소피랑 아빠 셋이서 Our last summer 부른장면도 너무 아름다웠음 ㅠㅠ 스토리 전개는 조금 아쉽지만 영상 음악이 예술인 영화!
294,처음부터 끝까지 주옥같은 곡들로 꽉 채웠고 행복하고 신나는 감정을 느끼게 해준 영화.
295,충분히 즐겁고 신나고 끝날때까지 미소가 떠나지않는 좋은 영화~
296,벌써 10년 아직도 그 감동을 잊을 수 없다!!! 내인생 최고의 영화!!
297,노잼 너무 지루했고 볼 거라곤 영상미 뿐‥ 개연성도 없고‥ 억지 해피엔딩‥ 그리고 해리는 게이임jQuery224012935303227784534_1530654136727? 뜬금없이 게이?? 결말이 궁금해서 억지로 다 봤는데 허탈한 결말‥ 왜 유명한지 모르겠다
298,영화에 아바음악  최고 입니다 배경도 음악도  감사합니다
299,개연성은 약간 부족했으나 너무 유쾌하고 여름에 보면 힐링되고 시원한 영화! ABBA노래는 언제들어도 좋다ㅠㅠ
300,"학창시절 영어선생님이 수업시간에 틀어주셨던, 가슴시리도록 그리운 그 시절의 명작! 다시는 돌아갈수 없는, 추억으로만 남게될 줄도 몰랐던 시절의 생각하면 할수록 슬퍼지는 기억과 떠올리면 떠올릴수록 가슴아픈 영화. 재밌는 영화지만 왠지 눈물이 흐른다..."
301,엄마랑 같이 관람했는데 엄마가 너무좋아했다 영화가 너무 좋아서 영국에서 뮤지컬도 다 관람했다 푸른바다랑 노래 어느 하나 빠짐없이 완벽하다 2편 빨리 나왔으면
302,음악과 흥이 내내 몰아친다
303,최고.. 몇번을 봤지만 볼때마다 가슴이 뜨거워지는^^
304,노래가 정말 너무너무너무너무 좋다.
305,메릴스트립이 60세에 찍은 영화라니.. 나이들지마요 메릴 스트립.. ㅠㅠ사랑합니다. 메릴 스트립
306,아직도 볼때마다 감동이 밀려와욤
307,이 영화에는 안 좋은 음악이 없다
308,"정말 유쾌한 뮤지컬 영화..스토리도 좋고, 배우들의 연기랑 음악도 너무 좋다.배경도 멋있다"
309,오랜만에 다시 봤는데 감회가 새롭고 사랑 연애에 대해서 다시한번 생각해 보는 기회가 됬어요.^^
310,"진정한 사랑주의,자유주의적 영화. 인물들은 오직 이를 위해 달려간다. 나이? 상식? 그딴게 뭔가. 아빠는 한번에 세명이 생길 수 있고, 결혼을 갑자기 뒤엎을수도 있다. 누구나 자신의 인생에서만큼은 댄싱퀸이 될 수 있다. 이들처럼 자유로워지자."
311,"완벽한 영화는 아니었지만, 보는 내내 즐겁게 만드는 최고의 영화였다!"
312,인생영화입니다....
313,노래는 끝내주게 좋은데 진짜 아빠는 누구지? 빈약한 스토리
314,아바의 주옥 같은 노래들 들으니 너무 좋고  특히나 마음에 와닿는 가사들이 감동적이다
315,너무 재밌게 본 영화!!
316,1분1초가 지루하지않다 ~~
317,내 살아생전에 이 영화를 볼수있다는것은 정말 큰 행운이다
318,정말 긴말이 필요없다. 내 인생영화
319,메릴스트립이 딸을보며 노래할때 보다가 울었다 우리 엄마가 나한테 하는말 같아서
320,저런 멋진 남자 세명이 진짜로 있을까 하고 의심하게 되는걸 멋진 음악덕에 잊을수있었다
321,스토리 연출 모두 좋았다
322,보는 내내 그리고 보고 나서도 유쾌함 가득한 영화
323,귀호강눈호강했습니다ㅎㅎ이런영화너무죠음
324,얼마든지 잘만들수 있는영화를 간신히 만들어놓은 케이스..그저그렇다.
325,아그아그아마아나이니니
326,도나 남편 후보 3명.... 캐스팅 부터 너무 화려하다.. ㄷㄷㄷ
327,행복해 지고 싶다면 보세요 열정과 에너지가 넘쳤덩 유쾌한 영화
328,나오는 노래 하나하나가 다 좋아서 덕분에 보는 내내 지루하지 않고 즐겁게 볼 수 있었던 영화이다 내가 본 뮤지컬 영화중에 맘마미아가 최고다
329,내용부터 ost까지 완벽함
330,다시봐도 명작이지! 특히 밤에
331,너무나도 완벽했습니다. 보는 내내 감동이 사그라들지 않더군요 특히 아만다 사이프리드의 노래실력이 최고였던것 같습니다.그 누가 뭐나해도 이 영화는 저에게 인생작이고 최고의 영화입니다.
332,50번은 본듯. 말이 필요없다.인생영화
333,내가 가장 좋아하는 영화중 하나 보고 또봐도 재밌고 따뜻하다
334,조금 더 집중해서 봤었어야 했는데
335,다시봐도 너무 신나고 같이 춤추고 싶은 작품
336,내 인생영화  진짜 6번째로 돌려봤는데도 너무 좋다
337,계속봐도 좋은 내 인생영화
338,음악이랑 배우들은 정말 환상이었지만 스토리가 너무 아쉬웠다 ㅠ 스토리랑 개연성만 좀더 좋았으면 완벽했을영화
339,노래도 좋고 보면 기분좋아지는 영화
340,최고의 영화 모든 노래 하나하나가 다 너무 좋고 기분이 마냥 좋네요
341,아바의 위대함과 완벽한 연출 연기가 만들어낸 시대의 명작
342,나에겐 꿈이 있어요. 내년에 2편도 기대해 봅니다. 아만다 화이팅!!
343,"가창력에 연기력까지 겸비한 배우들의 향연에 몸둘바를 모르겠다. 영화의 중심소재가 맥을 잃고 영화의 결말이 다소 밋밋한 경향이 없지 않지만, 그럼에도 불구하고 영화가 끝날 때까지 영화 속 음악에 매료되어 정신없이 봤다."
344,노래도 좋고 영상도 좋고 배우들 연기도 좋고.. 세 번째 보는데 또 색다른 느낌이었어요.
345,메릴 스트립은 사랑입니다. ㅠㅠ
346,정말 저의 인생작임 정말 여름마다 봐도바도 질리지 않고 볼때마다 유럽으로 여행가고싶음 정말 강추하는 영화임
347,Thank you  for the music
348,노래만 좋으면 뭐해...스토리가 멍청한데
349,최고중에 최고입니다.
350,우울하고 힘들때 날 위로해주는 행복한 동화같은 영화.내가 제일 좋아하는 영화.
351,이 영화도 좀 있으면 10주년이군요
352,"뮤지컬영화의 클래식이 된 영화. 무슨 말이 필요한가, 필히 감상하길 바란다. 대박이 난 영화에는, 취향에 따른 호불호가 없이 인기를 끌수있는 이유가 있다."
353,"너무나 예쁘게 나온 아만다 사이프리드와 발랄한 메릴스트립, 그리고 ABBA의 노래들과 그리스의 풍경들로 너무 아름다웠다."
354,조아조아조아조아조아
355,노래와 잘어우러져 자꾸생각나는영화
356,내 인생 최고의 명작 중 명작
357,정말 재밌고 음악도 연기도 다 좋았다 평점 낮게주는 사람들 뭘봐야 재밌다고 할건데?
358,몇년째 계속 봐도 재밌응
359,"어릴 때 보고나서 아직까지도 좋아하는 영화입니다, 노래도 좋고 스토리도 좋아서 계속 여운이 남아있어요 :)"
360,"뮤지컬 내용 그대로 살려서 정말 배우들이 노래,춤,연기 다 잘했는데 평점이 생각보다 많이 낮네요. 뮤지컬 영화중에선 손에 꼽게 정말 잘만들었어요. 스토리가 이상하단분은 뮤지컬 내용을 모르고 말하는거죠??"
361,"스토리는 그저 그렇지만, 음악은 최고다."
362,아직까지 이 이상 잘 만든 뮤지컬 영화를 본 적이 없다.
363,몇번이고 다시 보고 싶은 영화♡
364,맘마미아    맘마미아 맘마
365,DVD 나오면 꼭 사고싶은 영화 1위
366,스토리는 뮤지컬원작답게 쌩뚱맞지만 그마저도 사랑스럽다. 처음부터 끝까지 행복한 영화. 몇번을 봤는지 셀수도 없고 봐도봐도 좋음ㅋㅋ방금 다보고 나서도 또 보고싶어짐..물론 거기엔 아바의노래가 한몫했다 세기의 명곡들로 이루어진 뮤지컬영화라니 완벽할수밖에
367,애비찾아삼만리..ㄹㅇ병맛영화
368,"오늘 처음 봤는데 개인적인 생각으로 살면서 한번쯤은 봐야할 영화인듯하다.. 노래도 정말 너무 즐겁고,감동적이고 배우들의 연기도 너무 재치있고 재밌었다10번은 더 보고싶은 영화이다 강추합니다"
369,20 번을 봤다. 더 할 말이 있겠느냐
370,최고의 뮤지컬 영화 라라랜드 최악이라 맘마미아로 정화하러옴
371,개쓰렉이영화 재밌게 본사람들 뭐니..
372,상당히 좋은 작품이다.
373,내 평생 유일하게 영화끝난후  사람들의 박수소리를 들었던 인생 최고의 영화
374,몇번을 다시봐도 흥미로운영화
375,저의 인생영화입니다!! 몇번을 다시 봐도 질리지 않는 영화는 처음이에요!!
376,즐겁고 유쾌하고 사랑스러운 영화 시간 내내 즐겁다.
377,이거 죽임..캬.ㅠㅠㅠ
378,이거 뮤지컬을 토대로 해서 만든거죠?? 이 영화가 원작인줄 알았어요 ㅎㅎ 뮤지컬도 짱 영화도 짱!!!
379,보고나면 행복해지는 영화. 아바의 명곡들이 자연스럽게 인도한다
380,평점이 높은데 이해가 안가네스토리-무리한 노래
381,마지막 워털루 부르는 장면에서 엄청 웃었다ㅎㅎ 마음이 따뜻해졌어요
382,최고 부모님의삶에대해 생각해보는 감동적인 영화ㅠ
383,제 생애 최고의 영화에요 메릴 스트립씨는 제가 좋아하는 영화에 전부 출연하셨네요
384,내 생의 최고의 영화. 몇번봐도 질리지않는다.
385,땡큐 포 더 뮤직! 땡큐 포 더 아바!
386,근데 마지막에 해리는 갑자기 그남자랑눈맞음?
387,"스토리는 뜬금 없으나, 그리스와 여주땜시 ㅋ 나쁘진 않았다"
388,여러모로 평화롭고 아름다우며 재밌는 영화
389,평점주기가 애매한데 우선 노래는 좋다.
390,밝은 햇살과 풍요로움이 떠올려지고 아만다의 젊음은 너무나도 아름답다.
391,그냥 유쾌하고 신나고 재미 빵빵 터지는  영화
392,"악마 편집장, 제임스 본드, 킹스맨, 코제트, 하워드 스타크, 에릭 셀빅 박사, 몰리 위즐리가 다같이 뮤지컬 영화에 나오는데 어떻게 안볼 수가 있겠어. 이 영화는 저 배우들 + 아바 노래들만으로도 만점이다."
393,"맘마미아는 역시, 최고네요. 개인적으로 맘마미아 캐릭터들 너무 좋았어요. 여러가지로! 또 너무 노래들이 다 좋네요. 배우들이 노래를 직접 했다니 멋지기도 하네요! 꼭 추천하고 싶어요!"
394,이건 영화가 아니고 전설..세기의 예술..
395,오늘 EBS에서 봤는데 노래도 좋고 아만다도 예쁘다. ABBA노래를 알긴 하지만 찾아서 들어본 적은 없었는데영화 안에서 들으니까 장면들이랑 정말 잘 어울리고이제 이 노래들을 들으면 영화의 장면들이 떠오를거같다.
396,ABBA의 신나고 아름다운 음악들로 정말 멋진 영화를 만들었다. 다시보니 여성감독이 만들어서인지 페미니즘적인 요소들이 많이 느껴지는 것 같다. Spontaneous.
397,대부분의 사람들이 the winner takes it all을 최고의 시퀀스로 뽑지만 난 slipping through my fingers가 최고였다 홀로 딸아이를 키워온 모성애를 이보다 아름답게 표현할 수 있을까...
398,"진짜 정말 좋아하는 영화중에 하나... 진짜 명작이고, 배우들의 연기는 끝내줬다...."
399,강추합니다.진짜 재밌어요
400,나이는 숫자에 불과하다는 말이 이런 영화를 보고 하는 말이 아닐까
401,내 인생영화♡ 볼때마다 너무 설레고 행복하다ㅎㅎ
402,"생각보다 그렇게 만족한 영화는 아니었음. 왜 평점이 높은지 이해가 안되는? 그냥 그리스 아름다운 풍경이랑 스토리 엉망에 개연성없는 뜸금포의 노래, 아만다 미모 등  이게 다인거같다."
403,좋은 노래와 좋은 배우와 좋은 경치가 만나다..
404,임성한의 막장과 아바가 만났다
405,황홀한 배경과 음악으로 가끔 힐링이 필요할때 찾아보는 영화.나도 저런배경의 그리스 산토리니에서 살고 싶다.
406,배우들은 잼겠다.근데 보는 사람인 저는 별로였다능
407,아만다가 부른 honey honey 이후로는 하강 곡선인거 같다 ㅠㅠ 세 남자 배우 케미스트리랑 아만다 커플은 좋은데 아줌마가  스스로 ㅄ짓 한거  괜히 남탓 하는거 같은 스토리는 전혀 공감이 안갔다 동네 여자애 결혼식 함께 즐기는 모습은 참 좋았다
408,"냉정하게 평가하면  노잼,  이런 뮤지컬 좋아하는 사람만 보게끔 그냥 뮤지컬로만 있었으면 하는 그런 느낌을 받음 뮤지컬로 있으면 확실히 걸러질테니"
409,기분 좋아지는.영화
410,수록곡 하나하나 다 좋다
411,웃길땐 웃기고 뭉클할때는 뭉클하고
412,눈과 귀를 단 한 순간도 쉬게 할 수 없었던 행복했던 영화
413,아바의 노래와 뮤지컬의 아름다움이 영화에서는 왜 엉망진창이 되었는지...
414,정말 재밌고 신나는 영화에요.
415,정말 인생영화. 안보신분들 꼭보세요
416,그냥 딱 싸구려인도뮤지컬영화 수준  음악만 다르고
417,이건 뭐... 말이 필요없는 영화아닌가?
418,댄싱퀸 노래부분은 나도 절로 흥이 나더라~!!
419,"노래가 너무 심하게 나올 곳, 안 나올 곳 안 가리고 빈번하게 나와 되려 시끄럽고 집중 안 됨. 이런 류의 영화는 별로라 그닥.. 풍경만 볼만 함"
420,★★★★명작★★★★
421,진짜 열번도 넘게 봤네요
422,보는 사람을 설레게 하고 행복하게 만드는 아름다운 뮤지컬 영화.
423,최악의 지루한 영화였다. 그렇게 재미없는 상황에도 웃어재낄 정도의 마음의 여유가 있는게 부러울 따름. 이렇게 역한 시나리오에도 참고 연기하는 배우들을 보며 역시 연기자는 출연료로 살아가는 사람들이라는걸 다시 한번 실감했다.
424,스토리가... 아만다랑 그리스풍경이 아름다운건 알겠음
425,"사실 스토리는 막장이지만, 아바의 주옥같은 명곡들과 지중해의 아름다운 경치, 그리고 너무도 어여쁜 아만다 사이프리드가 좋았다."
426,"영상, 배우, 음악, 스토리가 맛있게 버무려졌다."
427,노래도 스토리도 배우까지 정말 완벽한 영화네요
428,최고의 영화 best of best
429,친구2같은 백편 삼류저질 쓰레기 필름보다는 맘마미아 한편보시길 바랍니다. 친구같은건 영화가아닙니다. 차라리 일본야동포르노 보시는게 정신건강에 훨씬 좋습니다.
430,나에게 깊은 감명을 준 영화!댓글은 별로 않달지만 이 영화이기에 평점을 주고 댓글도 단다.
431,이렇게 아름답게 막장일 수가 있는가 !
432,"눈과 귀, 마음모두 힐링되는 영화, 영화속 등장하는 ost 하나하나 명곡이다..  아만다사이프리드 역시 그녀는 눈부시게 아름다웠다."
433,그냥 최고. 그냥 모든 넘버들이 다 좋다.
434,아주 영화노래도 재밌고 영화도 재밌다 내인생의 최고의 영화이다 사운드 오브 뮤직보다 훨씬 재밌는 영화다 보시면 아주 재미있는 영화입니다 맘마미아 강추합니다. 내가 2번본영화이다 이영화도 죽기전에꼭 봐야할영화중 하나입니다. 이영화 볼때 감동적이었습니다.
435,"봐도봐도 벅찬느낌의 영화, 아만다 너무 사랑스러워요 ㅠㅠ"
436,아만다사이프리드를 비로한 다른 연기자들도 연기를잘하고 무엇보다 노래를 잘했다
437,매우 흐뭇하고 유쾌한 영화.
438,미치도록 소름끼치는 전율의순간이 반복이였다 어느 뮤직컬영화가 맘마 미아를 뛰어넘을수가 있을낀
439,언제봤았었는데 재밌었어요~~^^
440,사랑할수밖에 없는 영화
441,보는내내 입가의 미소가 지워지지않았다 .
442,Winner takes it all.. It was a song for loser...
443,지금 고1이니까 이 영화를 첨 봤을 때가 9살이였네요.  이 영활 9살때 세번 본 기억이 있네요. 9살이 이 영화 주인공들의 삶을 알기나 했을까요 ㅋㅋ 그저 신나는 노래와 아름다운 배경이 좋아서 봤겠지요. 그 부분만으로도 10점인 영화 아닐까 싶네요
444,노래도 좋고 무엇보다 아만다가 너무 이쁨 ㅜㅜ 아직도 보는 영화
445,"되게 황당할 수 있는 스토리인데 재밌다. 아름다운 영상과 신나는 노래, 배우들의 연기가 특히 매력적이다."
446,제 인생 최고의 영화입니다.
447,"도나와 소피 각각의 이야기도 너무 좋고, 인생을 남들의 눈치를 보지 않고 젊게 살아가는 배경이 부러운 영화."
448,뮤지컬 장르를 즐겨보진않지만 나쁘지않았다.
449,애미 없냐;;란 이런 말이 제목이라니
450,말이 필요 없는 아바의 노래들
451,이렇게 유쾌한 영화를 왜 지금에서야 봤을까
452,2008년 개봉한 영화군요. 아... 이거 보고 막 울었는뎅. 지금은 괜찮네요.
453,눈과 귀가 즐거워지는 ABBA의 노래!
454,언제봐도 명작 명작 !!
455,최고의영화 다른말이필요없습니다
456,그리스 보다도 못한 시대착오적 연출이 내내 눈에 거슬리긴 하지만 그래도 봐줄만하다
457,우리나라여성만큼 개방적으로 사는 여자들이 어딨다고 ㅋㅋㅋㅋ
458,그리스의 풍광과 캐릭터들의 발랄함 위에 감도는 아바의 세레나데
459,최고의 영화수십번을봐도 질리지않아모든재우가 다 생각 날 정도로 좋다
460,"브로드웨이 뮤지컬 뉴욕 공연 이번이 마지막공연이라는데 아쉽네, 정말 최고의 영화"
461,기자나 평론가들의 평점을 보고 보지않은 영화가 많은데.... 엄청난 영화를 봣던거 같아요. 댄신퀸 노래들을때 나만 그런지 모르겠지만 분명 신나는 노래인데 슬픔이 묻어나오는 느낌이 들었어요. 정말 소름 돋게 재밌는 영화를 봤습니다.
462,아만다 너무 이쁨!!!
463,진정 말이 필요하나요??  무조건 강추합니다. 정말 완벽한 영화입니다.
464,스토리부터 노래까지 재밋다.
465,"땡큐 포 더 뮤직,  음악 하나로 모든것이 완성 된 듯 하다"
466,영화보다 잔 건 맘마미아가 처음임. 정말 재미없음.
467,아만다 사이프리드의 매력과 아바 노래의 매력 둘 모두 함께 깨닫게 만들어주고 즐기게 만들어준 영화. 그냥 어디서 들어본 노래들이 아바의 노래라는것에 놀랬음.
468,그리스 풍경을한 한국드라마
469,"기분이 다운될 때 보거나,, 음악을 듣는다면!! 힘이나는 작품!!"
470,역시 맘마미아는 영화도 뮤지컬고 명작이고 노래에도 명곡들 천지이지만 댄싱퀸만한게 없지!
471,노래하나하나가모두명곡이에요 짱
472,"10번은 더 본 영화. 방금 또 보고 왔어요ㅎㅎ 볼때마다 설렘과 감동, 웃음을 주는 영화!"
473,재밌다 노래도다좋고 연기도다잘함
474,뮤지컬로선 최고! 영화로선 글쎄?
475,아름다운 풍경 좋은노래 훌륭한영화
476,오늘 처음봤는데5번째보고있다 보면 행복해지는 영화
477,노래가 너무 아름다웠어요~진짜 영화 잘봤습니다!!
478,보는 순간마다 내내 '멋지다'라는 생각이들었다
479,아바의 명곡들을 스크린에서 들을 수 있고 아만다라는 신인 배우와 관록의 메릴 스트립의 노래 실력을 들을 수 있어 너무 좋았던 영화..
480,"최고의 노래, 희극적인 분위기, 매력있는 배우들!! 이 영화를 볼때면 기분이 좋아진다. 내가 가장 좋아하는 영화!"
481,보는 내내 지루하지않고 재밌다.
482,이거 보고 아바를 알게되고 팬이 됨
483,스토리가 해도해도 너무햇다....ㅋ
484,내게 뮤지컬영화가 이렇게 재밌다는걸 알려준 영화ㅜㅜ
485,넘 좋다... 마음을 행복하게 하는것 같음..
486,진짜 내용 쓰레기 에효 돈주고보면 아까움
487,Dancing queen 노래 듣다가 왜 울컥하지..ㅜ
488,영화에 나오는 음악들이 너무나 듣기 좋습니다... 뮤지컬을 좋아하지않아도 음악 자체가 넘 좋아서 끝까지 재밌게 볼 수 있었네요..
489,나는 이영화가 무엇보다 좋은것이 영화에 출연했는 배우 모두가 하나도 빠짐없이 직접 노래하고 춤춘것이다. 다시 한번 보고 싶고 이 영화에 나온 모든 노래가 좋다!!
490,"연기,줄거리가 아바의 노래로 다 연결되는 정말 최고 뮤지컬"
491,"난  왜 재미가 없을까.... 보는내내 집중도 잘 안되고,,, 나중에 시간이 나면 다시 한 번 차분히 감상해봐야 겠다 ...."
492,노래 다 좋고 지루 하지도 않네
493,나이가 나이라 아바노래를 찾아듣지는 않았는데 이 영화보고 찾아듣게 됨. 전체적으로 스토리는 매끄럽지 않으나 (뮤지컬 영화의 단점이죠) 하지만 아바노래가 자연스럽게 흡수되니 너무 ~ 좋네요
494,이 영화를 통해 메릴 스트립이라는 멋진 배우를 알게 되었다.
495,최고의  영화  몇번이고  볼수있는
496,완전좋았음 스토리도좋고 배경도좋고 노래도좋음 아만다왐전이쁨♥
497,뮤지컬 영화의 대명사 맘마 미아!
498,오래된거지만 다시봐도 좋은 영화네요
499,남녀노소 모두를 위한 영화인듯.. 노래를 몰라도 눈과 귀만있다면 즐길수있다
500,귀가 이득을 봅니다확실히 노래가 정말 좋네여///
501,너무좋아요!!!저는이거보고얼마나감동에벅차는지..인생에기쁨이되어갑니다
502,상쾌한영화우아!!!
503,조금지루하긴하지만그럴때마다노래가나와흥미롭게해준다
504,very  good 정말 좋네요
505,정말 단 한순간도 눈과귀를 집중하지 않을 수 없었다
506,말이 필요 없는 영화 b  아만다 너무 이쁘다 *_*
507,진짜 최고임 배우도 음악도 스토리도
508,와 한장면도 놓치기 아깝다 너무 예쁜 영화
509,아바의 노래와 아름다운 풍광 모든게 잘 어우러져서 두시간 내내 행복했던 기억이 난다.
510,내 고등학교 3년 시절을 기억하게 해주는 고마운 영화. 아 따스하다 따사롭다 참 따사로운 영화다♥
511,『러브 액츄얼리』과 더불어 세월이 지나면 지날 수록 전설은 아니고 레전드 급으로 남게 될  名作 로맨틱 코메디
512,아바의 명곡과 다시 만나는 뮤지컬.
513,여기나오는 노래도좋고..스토리도너무좋아요
514,긴 말 필요 없음 갸 최고!ㅋㅋ
515,Dancing queen을알게해준영화
516,노래도 좋고 영화 배경도 진짜 아름답고~~아바노래를 알게해준 고마운 영화에요
517,검증된 이야기와 음악과 배우를 데리고 검정칠을.
518,최고의 영화ㅋ왕 추천ㅋㅋ
519,할 말이 없다.그냥 좋다.
520,멋진 풍경과 멜로디에 기분 좋았던 영화
521,짱짱맨 요 맘마미아 헤이
522,역대 최악으로 문란한 영화
523,기분좋아지는영화 ^^
