,영화'맘마미아1' 감상평
524,확실히 밝은 분위기라서 기분 좋아지고 배경이 되는 섬이 너무 아름다워서 기분이 좋아지긴 하는데 스토리는 영 ㅋㅋㅋㅋ 샘 약혼녀랑 애들은 무슨 죄야 ㅋㅋㅋ 뮤지컬 안좋아하는데 괜찮네요 그래도
525,역시 맘마미아 역시 아바
526,뮤지컬 영화로써의 제몫은 한다.
527,"너무나 유쾌하고, 날 행복하게 만드는 영화."
528,개인적으로 뮤지컬 영화를 좋아하지 않지만 워낙 유명해서 봤음. 그냥 OST만 기억에 남는 영화였음.
529,지금까지 본 영화중에서 이 영화가 제일 좋아 진짜bbbb 노래도 너무좋고 주인공도 이쁘고 무엇보다 배경도 좋고 뭣하나 빠지는것이 없는 작품!!
530,아만다 나오니 함 봐야지 ㅎ
531,정말  재미있는 영화!!! 노래도 너무 좋구ㅎ
532,신나고 유쾌한영화! 맘마미아!
533,최고의 뮤지컬 영화!!!
534,아름다운 영화배경!우정과 사랑모두 담긴유쾌하고도 따뜻한 영화
535,30번도 넘게본 영화!
536,이 영화를 왜 이제봤을고
537,흥미로운 뮤지컬 영화. 아만다는 플러스 알파
538,분위기 좋고 배경 좋고 연기도 좋음
539,이 영화로 처음 아만다 사이프리드를 알게되었습니다ㅠㅠ 너무 예븜.. 내용도 발랄하니 좋고 우리나라도 저렇게 자유로우면 좋겟다는 생각 여러번했습니다. 보는내내 지루할 틈없이 노래도 다 듣기좋고.. 문득문득 생각나고 보고싶어지는 영화입니다 ㅎㅎ
540,즐겁고 재미있다. 지루하지 않다.
541,우왕 ㅋ 내가 찾고 찾았던 영화다... 나이가 들면서 뮤지컬 영화가 더 좋아지는건 나뿐일까? ㅋㅋ
542,진짜몇년전에본건데아직도기억납니다!꼭보세요
543,즐거움을 주는 음악과 영화
544,최고입니다  꼭보세요..
545,좋아료~! 요요dddd
546,맘마미아 정말 명불허전이네요...노래도 재미있고 배우들의 가창력까지 정말 대단한 영화예요~한번 보는 게 좋을 것 같아요...근데 좀 노골적인 장면들이...ㅡ..ㅡ
547,좋은 영화~~~후후후
548,한마디로 정말 초고의 영화!노래가 즐거워서 몇번씩 반복해서 보다가 머릿속에 툭하면 노래가 흘러나옴!완전 중독성이 강한 영화^^
549,그리스 홍보영상아만다사이프리드의 발견끝
550,영화자체는 그냥 그렇다고 치자..근데 내용이 1년내외 사이에 3명의 남자이상과 잠자리를 한 년에 그딸년은 애비는 누군지도 몰라서 그 구멍친구들을 모아놓고 결혼식을 하고 있는 꼬라지가 참 너무 현실적이라 기가 막힌다.이런 스토리가 양놈들에게 대히트가 쳤
551,"Dancing Queen, feel the beat from the tambourine"
552,메릴스트립의 천부적인 연기력과 관능미가 느껴지는...그림같은 이탈리아의 섬을 배경으로한 아름다운 영화
553,노래들이 좋았고 그냥 명작이다
554,허니잼영화. 뮤지컬영화 별로 안좋아하는데 재미있게봄
555,"어깨가 들썩들썩, ABBA의 명곡으로 즐거워진다"
556,뮤지컬영화 너무좋아ㅠㅠ 메릴스트립이랑 아만다 노래 너무잘해!
557,"도나가 프로포즈 받는 장면에서 I do x5 부르는 중년의 남성이 너무 멋있었다! 목소리도 좋고,  그리스의 푸른 바다와 배경을 볼 수 있는 좋은 영화다."
558,감동적이고 너무 재밋는 영화♭♭
559,뮤지컬 영화인데 그다지 재밌진 않았음..
560,dddd bbbb 아이 져아
561,별 10개도 부족한 영화 최고의 뮤지컬 영화
562,내 생애 최고의 영화!!!
563,사회쌤이 보여줬는데 졸라꿀잼
564,thank you for the music !
565,노래나올때마다 정말 소름돋고 정말 신났습니다. 정말 기분을 좋게만드는영화
566,아바 음악 활용 사전?....
567,아만다 사이프리드는 진짜이쁘다
568,영화 진짜신선하구 나쁜사람하나없는 착한영화ㅋㅋ진짜 계속봐도 재미있다
569,중1 음악감상반에서 처음 봤는데 정말 사랑스럽고 정말 재밋었음
570,내가 정말 좋아하는 영화♥보는 내내 배우들 연기 very good♥
571,노래빼고 다 지루하다.
572,그냥 최고네요.지금봐도 참 잘만든 영화
573,아만다사이프리드 광팬이라 1점더준다;; 너무 심하게막장이다
574,평점 진짜 적게주는 기자님들도 이건7점대 얼마나 재밋는지 아시겟죠?
575,순수한 감성과 순수한 사랑을 지닌 작품. 기분 좋게 생각난다.
576,"영화의완성도와 상관없는,최고의 뮤지컬.영화속에 나오는,주옥같은 아바의음악을 듣는것만으로도,본전뽑은 기분이었다.메릴의 솔로파트ㅇㅇㅇㅇ는 정말...이건,대박이었음...한평생 안 잊혀질 장면중 하나.아만다세이프리도도 예뻤고,피어스 브로스난도 무난한 편..."
577,아바 매릴스트립 아만다사이프리드
578,전 이거 몇번 봐도 좋아서 추천요!
579,주옥같은 아바의 노래들을 실컷 들으며 들뜬 마음으로 봤던 영화~영화속 그리스에서의 삶이 너무 간절해졌었던..영화를보는동안 나두 저안에 들어가 같이노래하고 춤추고 즐겼던ㅎㅎ아만다사이프리드너무이뿌구 메릴스트립 정말대박!
580,정말 재밌어요 ㅎㅎ 그리도 아만다 너무 이쁜~~
581,내가 지금까지 가장 많이 본 영화.봐도봐도 질리질 않아ㅠㅠㅠ
582,최고의 영화중에 하나 ABBA의 음악이 어우러진 걸작
583,분명히 즐겁고 힐링되는 영화임에는 틀림없지만스토리가 부족
584,허영심 가득하고 발정난 여자들의 이야기 그리고 도나와 친구들은 아주아주 꼴불견이다 어찌나 보기 싫던지 기대하고 봤는데 정말 실망이다 그냥 이 영화는 발정난 여성들의 판타지 영화
585,"어렸을때 내용은 미처 이해를 다 못했으나 영화음악으로도 충분히 감동적이게 본 영화였어요~ㅎㅎ 제가 작년에 미국여행에서 뮤지컬로 봤었는데, 영화도 뮤지컬도 둘다 너무 좋았어요~"
586,재밋어요
587,소박하지만 아쉽다
588,생각보다 연출이 웅장하거나 한 건 아니였으나 소박하고 섬 풍경을 활용해 뮤지컬 무대를 보여준다는 점이 좋았음.신나는 곡들에 아만다가 정말정말 사랑스럽고 내용도 위트도 있어 많이 웃으면서 봄.내용과 잘 맞는 포스터와 결혼 대신 여행이라는 엔딩도 좋았음~
589,보는 내내 지루하지 않은영화
590,Ost가 다좋고신나고 그냥 뮤지컬보는기분 재밌었다
591,"ABBA의 명곡들을 적절히 잘 활용했다. 유머도 적절히 섞였고, 스토리도 괜찮다고 본다. 재밌다!"
592,보고있으면 기분좋아지는 영화! 노래도 다 좋다
593,좋은음악들!
594,"the winner takes it all 불렀을 때, 미친 소름 b"
595,아만다 사이프리드 참 예뻤다 ^^
596,"ABBA는 위대하고  거의 60세였을  메릴스트립은 존경스럽다. 직접 방문했던  그리스는 영화처럼 소박하게 서로 어울려서 사람답게 사는 곳이 아닌,  이기적이고 부패된 곳이다. 원작뮤지컬+ 실제 풍경 삽입 이외에도 영화적 특성을 좀 더 부가했더라면.."
597,너무 좋은 뮤지컬 영화.실력과 외모 모두를 갖춘 배우들...아만다 최고
598,내가 제일 좋아하는영화
599,I can still recall~ Our last summer~
600,이렇게 살고싶다. 행복하다!
601,지금봐도 흥겹네..힐링이란 이런거 아닐까..질질 짜는 힐링은 out !
602,"보통 뮤지컬처럼 먼저 쓰여진 스토리에 맞춰 노래가 만들어진 게 아니라, 아바의 명곡들에 맞춰 스토리를 만들었다는 게 정말 대단하다. 노래와 스토리가 너무 잘 맞는다. 영상, 연기, 스토리 어느 것 하나 빠지지 않는 유쾌하면서도 감동적인 작품."
603,정말 내인생 최고의 영화!말이 필요없는 영화~이렇게 살고싶다!
604,막장이라도 즐거워서 좋은 영화 ㅎㅎㅎ
605,와막장이다
606,행복하고 즐거운 영화^^
607,보고있으면 행복한 기분이 들어요
608,노래는 굳 스토리는 막장
609,정말 행복했을때 봤던 영화.. 같이보던 그사람이 생각나네요 ㅋㅋ.... 행복하게 해주는 영화
610,캬.. 뭔가 은은하네ost도 좋고
611,뮤지컬 영화중 세손가락에 꼽힌다(내기준)
612,최고
613,스토리는 그닥 재밌진 않고 노래가 좋을뿐
614,최고!!  최고!!  최고!!
615,가장 인상깊었던 장면.  주인공이 노래를 부르고 춤을 추고 행진을 시작한다.  마을사람들이 하던일을 던진다.  같이 따라나선다. 딸은 아빠없이 자랐다. 하지만 세명의 아빠가 동시에 생긴다. 그거 참!
616,좋은 노래랑 그만큼 좋은 풍경이 보기 편했다.
617,신나는 아바의 선율을 담은 아름다운 로맨스
618,나에게음악의즐거움을느끼게해주었고 자연의 아름다움과 삶의즐거움을 잘느끼게해주는영화인것같다.
619,예쁘고 즐겁고 재밌다
620,"끝 부분이 아쉽긴 하지만 , 그래도 굉장히 기분 좋아지는 영화"
621,특별할 건 없다. 그저 아름다운 풍광과 아바의 음악이 좋을 뿐.
622,7번쨰보는데 다시봐도잼다
623,으리가 있다!!!
624,"2008년 개봉 당시에도 재미있어서 여러번 돌려보았던 기억이 있다.아만다 사이프리드라는 사람을 처음 접했던 영화이기도 하고. 아바의 노래를 처음으로 접했던 영화. 배경, 스토리와 노래가 어울려 정말 신났던 영화.그런데 끝이 약간 아쉽다."
625,노래도 좋고 배경도 너무 아름답다. 아만다스럽다!  메릴스트립도 정말 색다른 발랄한모습 좋다
626,뮤지컬영화계의  전설
627,좀 커서보니깐 이제야 재밌어요
628,시작부터 끝까지 재미있어요 배경도 너무 예쁘고...
629,"2프로 아쉬운 연출, 캐스팅, 노래. 지중해의 상쾌한 분위기 만은 최고!"
630,이제서야 봤는대 잼나네요
631,뭐라고 해야할지...이렇게 만감이 교차하는 영화는 영화는 처음이다...
632,최고입니다
633,노래와 줄거리가 너무 잘어울리는 영화였다. 노래도 흥겹고 연출도 상당히 좋았다
634,ㅇㅇ
635,"아만다 사이프리드의 발견과 메릴 스트립의 연기력 그리고 아바의 명곡, 여러모로 매력이 넘친다"
636,아만다 때문에 영화를 봤지만 정말 재미있고 잘 만들었다는 생각이 느껴지는 영화
637,이 영화 덕분에 아만다 사이프리드를 알게 되었네요. 이걸 왜 이제 봤을까요...최고의 뮤지컬 영화이자 사랑스러운 영화에요. 전체적인 스토리는 무난하지만 메릴 스트립의 연기가 돋보였고 배경이 너무 예뻤어요. 그리고 주옥같은 OST 덕분에 만족한답니다.
638,^^ 노래들잉 넘흐 죠아횽
639,너무 재밌어요10번넘게 봤어요
640,잼께본
641,음악과연출은 좋앗지만 그닥...레미제라블보고 보니 실망
642,난 어렸을 때  이영화를 극장에서 보았는데 3학년 정도 때 봤다 아무리 어린 나였지만 나에게는 너무나도 큰 감동을 준 영화다 나의 첫번째 감동을 얻은 영화다.
643,레미제라블을 보고 맘마미아가 얼마나 재밌고 잘 만든 영화 인지 다시 한번 느꼈다
644,별로ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
645,ㅎㅎ
646,최고 !! 정말 신난다 꼭 보길 권장한다.
647,맘마미아!!!!
648,짱짱
649,완벽한 영화다
650,"아름답고 아름답다. 배우들과 풍경, 신나는 아바의 노래들."
651,영상미에 노래까지.... 최고!!!
652,머라고 설명 해야 할지 모르겠을 만큼 정말 최고의 영화다.
653,.
654,또봐도 재밌는 영화~ 이게 바로 음악의 힘이 아닐까~
655,유쾌하고 정말 재밌는 영화다. 중간중간 아바의 명곡들을 끊임없이 감상할 수 있어서 더할 나위없이 좋았다. 강추
656,"만점을 주어도 아깝지 않은 영화 맘마미아!전혀 따분하지 않은 한편의 뮤지컬을 보는 것 같았다.""맘마미아를 보지 않는 것은 파리에 가서 에펠탑을 보지 않는 것과 같다""라는 찬사가 이해가 간다.정말 최고였다.100번을 봐도 질리지 않을 영화!"
657,가볍고 저렴하고 짧게 즐길수 있는 뮤지컬 영화.
658,아만다 노래 겁나 잘불러 ㄷㄷㄷㄷ
659,"맘마미아는 정말 재밌고,습니다 노래가 추가되어서 더욱 신이 났습니다. 배우들도 독특해서 흥겨웠던 시간을 가졌습니다.감사합니다."
660,역시 아바노래... 노래에 짜맞추는 급박한 전개가 있지만 그래도 굳
661,가볍게 즐기려고 봤으나 가벼운 흥마저 나질 않음 연출력 부족!
662,봐도봐도 재밌다 ㅎㅎ
663,굳
664,처음으로본 뮤지컬삘나는 영화였는데 볼만했다 결말이 좀황당크리
665,정말 좋다 ㅠㅠ
666,맘마미아!
667,영화는 영화자체로 평가해야지 뭘 빼고보면 어떨까라는건 왜 그러는거야 수준인증하나 반지의제왕에서 오크빼고 간달프빼고가볼까? 다크나이트에서 조커빼면?
668,메릴 스트립의 연기는 경이롭다. 뮤지컬 영화에서 조차. 출연하지도 않은 Abba가 최고의 MVP!
669,유명한 맘마미아 내용모르거나 처음보는사람들. 추천 ㅇㅇ 뮤지컬영화 노래부르는 영화 싫어하는사람은 절대적으로 비추 아예보질마셈 ㅇㅇ 유명한 OST들을수 있고 난 내용도 재밌었고 영화배경도 예쁘게봤음 ㅇㅇ
670,소재가 독특하고 나온 노래들이 좋았다. 하지만 그 외는 글쎄 .
671,good
672,유쾌하다 그리고 배경이 아름답다
673,"만약 평점 놓게 준 분들에게 묻고 싶네요,, 노래만 쏙 빠졌다면 어땟을지,"
674,전혀 공감이 안감...
675,쩌러
676,뭐 취향의 차이지만 극장에서 80%의 환호하는 여자들..20%의 무표정의 남자들이 생각난다. 굳이 보겠다면 안말리겠지만 대다수의 남자들 이런거 좋아하진않을듯..
677,노래도 좋고 대단한 영화
678,다시 봐도 또 봐도 좋고 ost는 진짜 완소앨범
679,나의 최고의영화
680,재밌어요ㅎㅎ
681,ABBA~~!!!
682,말이 필요있나~~
683,굿굿굿굿ㅋㅋㅋㅋㅋ
684,정말 재미있게 감상했어요다섯번 볼정도로 맘에 쏙 들고 제일 처음으로 기억나는 영화예요맘껏 추천합니다^^
685,짱 재밋음!!
686,솔직히 뮤지컬영화 관심없었는데 아만다때문에 봤는데.. 명곡이랑 배경도 너무 예쁘고ㅎㅎ 재밌겠봤네요~ 레미제라블도 보러가야겠네용ㅎㅎ
687,다 좋은데 메릴 스트립은 볼 때마다 부담스럽다
688,아만다와 아바의 화려한 앙상블이 기억에 남는 영화.
689,영화 치고는 노래가 아주 좋았다. 언제나 듣고 싶다.
690,여자는 영원한 소녀이다.
691,정말 어린 나의 가슴을 울리게 한 영화! 배우들의 연기는 진짜 일품이였고 노래도 너무너무 좋았다.영화보고 몇달동안 OST만 계속듣고 열번정도 보게한 최고의 영화!!
692,기분은 좋아진다.
693,대박이라는말밖엔ㅎㅎ
694,뮤지컬을 안좋아해서리...걍 일반영화였으면 좋았겠구만~
695,언제봐도 기분좋아지는 영화. 하지만 뮤지컬이 조금은 더 나은.ㅎ
696,리뷰 볼시간에 이 영화 한번 더보는게 낫다.  강추
697,어맨더 사이프리드가 출연한다는 것만으로도 감상할 가치는 충분합니다. 아바의 주옥같은 명곡들을 들을 수 있는 최고의 작품.
698,내삶에서 가장 멋있고 신났던 영화
699,좋다
700,그리스 아름다운 풍경과 아름다운 음악 너무 아름다운 조화에요 ^^ 내용도 좋고 마음의 안식이 된 느낌이에요 ^^
701,정말모든게감동이야
702,모든게감동이야
703,우리나라였다면 막장도 이런막장이 없을듯주인공은 엄마 원망하며 울고불고했겠지?음악은 백점 !!!
704,보면 기분이 좋아지고 유쾌한 영호ㅏ명작이다! 맘마미아 ost도 너무좋고 배우들도 너무좋아요맘마미아!! 짱짱
705,멋진 배경에  멋진 노래들  정화되는  영화
706,말이필요음슴
707,최고
708,산토리니 역쉬 멋진 배경에 배우들의 매력적인 노래솜씨최고 였습니다.
709,그리스의 이 작은섬에서의 행복한 이야기~ 한번쯤은 꼭 가서 직접 느껴보고싶다라는 생각까지 하게 만들어주는 영화인것 같아요~아바라는 그룹 중학생인 저는 잘 모르지만 이 영화를 통해 좋은 신나는 노래들도 알게되어 참 좋습니다~
710,유치하다 생각되는 장면들을 보고잇다가 환상적인 노래와 율동 그리고 배우들의 연기에 나도몰래 같이 춤을추며 장단을 마추고잇는 내자신
711,솔직히 아쉬운 부분들이 없지않아 있다.  하지만 음악이 모든것을 막아주는듯......감동적이다!!
712,즐겁고 행복한 영화. 힐링무비
713,잘만들었네요~
714,짱 재미있어요. 감동적인 부분도 있고...
715,어느새 나도 스코펠로스 섬에서 열리는 결혼식에 초대받은 손님이 된 기분?노래 장단에 맞춰 들썩들썩!!
716,최고
717,삶에 유쾌함을 더하는 음악
718,짱이에요기억에 오래남아서또보고싶네요
719,몇번을 봐도 질리지가 않는다. 최고다!
720,노래도 괜찮았고 빵 터져서 쓰러질 것 같았다. 근데 뭔가 조금 아쉽다.
721,눈과 귀를 모두 만족시켜주는 영화
722,최고의 영화라고생각합니다보는내내 즐거웠고 노래도너무좋았습니다이런 영화가 많이~나왔으면좋겟다^^최고의영화
723,최고!!!!!!!
724,이런게 영화지.. 신선한 의미의 팝송 들으니까 정말 기분좋다.. 이거 영화관 3번가서봤던 기억이 나고 지금 시디와 디비디 다있다.. 이런 참신한 주제의 영화 너무좋고 한국과 차이나는 이런 신선한 노래들 찌든가슴 펴주는거 같다.
725,"진짜 1점준애들 뭐냐,, 솔직히 기본 6점은 나오는듯? 난 이영화가 딱 내 취향이어서 9점 ㅎㅎ 잼있어요"
726,절로 웃음이 나온다
727,아만다사이프리드 최고 진짜ㅜ
728,신난다. 신나! 종합예술이 여기있구나.
729,왜이런거 지금봣지ㅜㅜ아 조흐당
730,재밌어요
731,밝은 아름다운 사랑스러운 따뜻한 설레는 빛나는 영화 한 편을 보았다. 그리고 문화와 음악의 위대함을 깨달았다. 아바의 노래들 정말 멋있었다. 반드시 보시기를. 그리고 아름다운 아만다 사이프리드
732,동화는 동화일 뿐. 배우들이 부른 아바의 노래도 영화와 아주 잘 어울렸다.
733,뮤지컬과는 다른맛... 영화도 나름 괜찮았다는...주인공귀엽다..
734,메릴스트립의 절규는 나를 울렸다.
735,음악을위해 영상을 맞추건지 영화을 위해 음악 맞추건지 햇갈릴 정도 자연스럽다. 잘 모르는 노래도 거부감이 없다. 멋진 영화
736,삶이 즐거워지는 귀여운 영화
737,개성있는 뮤지컬 영화. 노래가 인상깊었다는.
738,흥겨운 뮤지컬 영화.. 실제 공연장에서 보는게 더 재미있을듯
739,노래가 좀 하자이긴한데 볼만한 영화이고 여주도 이쁘다
740,"스토리는 그냥저냥 볼만한듯 한데,   친숙한 노래는 많이 나와 좋았지만,너무 노래들을 못하는듯 하네요."
741,"최고의 영화다! 내스타일이라 그런진 모르겠지만, 이렇게 재밌고 신나고 아름다운 영화를 어찌 최고라 안할 수 있을까. 물론 뮤지컬도 짱!"
742,기분전환하기좋다
743,마지막 결말에서 좀 어처구니 없는상황이었지만 노래는 정말 굿!!! 아만다사이프리드는 역시 이쁘공ㅎㅎ
744,"배우들 직접 노래하고 춤추는 연기 좋았다. 아바의 노래가사와 맞아떨어지는 장년층의 감성도 아름답게 그린 것이 감동적이고..무엇보다도, 이렇게 개방적으로 한국에서도 여성이 살 수 있다면 얼마나 좋을까, 하고 환희와 한숨이 차례로 나오게 만든 영화였다.."
745,필리다 로이드 감독의 연출력에서 아쉬움이 남지만 그저 아바의 음악만으로도 이 영화의 가치는 충분하다!
746,재미있게 잘봤어요
747,ABBA의 명곡들과 명배우들이 나오지만.. 기억에 남는건 노래뿐
748,엄청 좋아요! 이거 보고 또보고 싶어져요!
749,보고 나서 저절로 박수가 쳐졌어요~~이렇게 좋은 영화는 처음인것 같네요 강추입니다!
750,대박!노래도좋고ㅠㅠ너무재밋습니다ㅠㅠ
751,최고다 특히아만다사이프리드 노래도최고
752,재미없다..도중 자버렷다
753,소피가 이뻐서 1점
754,아 모처럼 쓰레기 영화봣다
755,행복하게 본 영화^^ 뮤지컬도 꼭 보고싶어요
756,108분이 흐르고 유쾌해지는 영화!!
757,그리스 배경이 정말 시원하고 상큼함. 스토리 생각하지말고 노래에 중점을 둬야할 듯
758,아름다운 영화. 따뜻한 영화
759,"원더풀.. 댄싱퀸, 워터루~"
760,영화와 음악이 함께 어우러진 최고의영화!!!
761,배경과 아바음악이없었다면 허수아비가 될뻔한 영화하지만 그 두부분을 너무 잘살렸다
762,봐도봐도 보고싶고 봐도봐도 계속 또 보고싶은 영화!!!!
763,아바 음악이 정말 좋지해도 살짝 지루한면은있었음
764,배우들의 명품연기와 좋은노래가 합쳐져 좋은영화를 만들었네요
765,저는 스토리까지 좋았어요
766,짱
767,몇번을 봐도 재미있는 영화 다만 스토리가 대충 물흐르듯 넘어가는장면이 좀 흠..
768,본지 꽤 됫지만 그닥 재밌게 안봤는데 엄마가 몇 안되게 좋아하는 영화중 하나 아만다는 진짜 예쁜듯
769,4
770,진짜진짜 재밌어요 ㅋㅋㅋㅋㅋ 대박임..
771,생각보다 평점이 낮네요. 역시 메릴 스트립! 그리고 아만다라는 배우의 새발견!
772,우와 짱!
773,얼마전 DVD로 봤는데요 ..극장에서 할때 못본게 후회됨..정말 잼있게 봤어요 ㅎㅎ
774,댄싱퀸부터 울음이 멈추질 않았다. 음악의 힘은 위대하다!
775,최고입니다.
776,팝송을 잘 모르는 저도 무척이나 익숙한 노래들이 나오고 너무 재미있게 봤어요 최고
777,티비에서하길래봣는데 잼네요
778,스토리는 그렇다 쳐도 노래하나는 최고다.
779,너무 좋았다~너무 유쾌한 영화였음. 망설이고 있다면 그냥 봐라!
780,노래도 다 너무 좋고 배우들도 좋고 너무 재미있다!
781,명배우들의 연기와 아바노래의 환상적인 만남.
782,아직 고등학생인 나도 맘마미아에 나오는 음악들을 듣고 익숙한 노래들을 다시 들어서 너무 좋았다
783,최고ㅋㅋㅋ
784,그리스에서 결혼하고 싶네 ~~ 맘마미아
785,음악영화는 왠지 억지설정이 있는 경우가 많은데 이영화는 자연스럽게 뭍어나온다
786,대박
787,뮤지컬 영화의 흥행판!!
788,그냥잼있음...이응이응....
789,금발의 아만다와 흥겨운 아바
790,노래  MAMMA MIA AND DANCING QUEEN SONGS GOOD
791,아만다는 단발머리가 젤잘어울려 ㄷ;
792,ABBA의 음악에 흠뻑 취할수 있는 영화..
793,세월에 장사 없다. 아바의 음악 때문에 8점.
794,영화관에서 봤었을때 정말 시간가는줄모르고 빠져들어서 봄
795,피어스 브로스넌 목소린 좀 아니지 않나 ㅋ
796,매끄러운 스토리 전개는 기대하지말고 음악을 듣자
797,뮤지컬이라고 생각하면 상당히 편하고 잼나죠
798,뮤직컬이라 생각하고 봐야 볼만함 음악 너무 좋네요
799,뮤지컬이 표현할 수 없는 디테일한 스토리와 그리스의 정취를 보여주는 멋진 영화
800,중간중간 맥락이 끊기는 느낌이 좀 심하다... 영화로 접근하기엔 부담.
801,굿
802,그냥 그랫음 ...ㅋ
803,"최고ㅠㅠㅠ정말사랑하는영화, 사랑스러운영화 행복하게만들어주는영화"
804,음악좋고 볼만한영화네요^^
805,절로 신나 ㅋ
806,노래두좋구 스토리도 굿!!맘마미아!!^^~~~~~~~
807,"음악이 좋았을 뿐만아니라 음악도 좋았고, 음악이 좋았고, 음악만 좋았네."
808,음악 덕분에 7점을 준다
809,듣기와 보기를 같이제공시켜줌
810,이렇게 신나는 데 무엇을 더 바랄까?
811,아바노래는 여기서 지겹도록 들었지 ㅋㅋㅋㅋ
812,음악이 좋고 음악만 좋다
813,오디오도 되고 비디오도 되는 영화
814,강츄^.^~
815,음악두 좋고 주인공들도 너무너무 좋네요. 정말 좋은데요?
816,친구와 심야로 보고 너무 행복해 집까지 걸어가던 기억이난다. 댄싱퀸부르며ㅋ
817,덕분에 즐겁고 행복하다
818,아만다 사이프리스 러브~
819,노래 진짜 명곡! 근데 진짜 지루했음 끝까지본다고 진짜 힘들었다
820,웃겼음.... ㅋㅋㅋ
821,음악만으로도 좋아요
822,뮤지컬영화답게 노래가 신난다
823,재밌고 노래가 너무 좋음
824,이영화는 아바노래를 알아야..
825,정말 최고의 뮤지컬영화
826,로또1등맞아서여행떠나고싶다없이사니깐어릭적착했던네가부모님께불효만하게된다
827,와 진짜재밌었어요ㅋㅋㅋ노래도다좋았고ㅋㅋㅋ
828,내 생애 최고의 뮤지컬이에요
829,약간은....
830,행복해지는 영화!
831,보고 또 봐도 재밋고 신나는 영화다
832,여름에 보면 시원할것 같은 영화
833,별점9점만준다.............
834,"진리예요!!! 사랑합니다♡
노래도 너무 좋아요!"
835,재밌게봄
836,재밋엇어요 !!!!1
837,이걸 보기 참 잘한것같아요!!!!정말 재미있어요!
838,음악과 함께 너무나 신나고 즐겁게 볼 수 있는 영화
839,유쾌한 한여름 날의 꿈
840,와...왜 이걸 이제야 보았을까? 정말 쵝오!!
841,높은 평점을 기대하고 봐서 그런가..생각보단 ㅠㅠ
842,괜찮은 것 같다. 본지가 오래됐지만 안보신분은 봐도 괜찮을 것 갗네요.
843,뮤지컬 맘마미아를 보았던 사람들에게는 무대의 감동을 영화로 다시 되살릴 수 있다.
844,조아여조아><
